itemid,top_items
67045,50467 133398 78616 401076 251606 344994 451346 357564 277638 423157
285930,453814 8692 124804 163474 399674 159038 152372 451532 374673 371697
357564,835 147077 67045 417230 133398 198363 420016 194216 251868 390036
216305,29940 441734 172103 48072 259884 30573 342816 154034 342264 140853
259884,78268 449391 441734 342816 29940 342264 216305 140853 136560 227306
325215,342816 78268 449391 254546 83831 120898 235427 94098 140853 23657
342816,29940 325215 380212 78268 350384 342264 154034 449391 54698 259884
253615,455745 344723 325852 106741 316753 308967 377863 198209 234493 18275
344723,222285 253615 122604 188786 236180 78163 234493 230828 231394 245510
139394,402510 213277 395796 276324 105673 82580 87658 289915 24136 221243
164941,67991 419234 201884 57162 100612 259147 101523 195695 154402 240408
278689,320589 184406 228890 270507 443983 79256 85268 98402 122780 129310
320589,278689
346051,449369
449369,306027 346051 455286 27628 127798 83882 89766 440892 209017 242521
168952,16156 408179 125400 17977 364762 395085 324376 315728 294024 157518
434344,352572 370308 164287 409354 151287 194346 419765 305886 433372 119729
49967,174417 76617 358388 406715 8717 289863 9239 313641 11185 304027
198762,358388 429304 244437 246197 376889 109091 218094 3563 394276 446033
279059,358388 182118 52827 108417 146303 268318 254955 229745 73643 335268
358388,279059 429304 198762 49967
429304,424421 358388 198762 74520 244437 257156 446033 279059 426826 246197
38965,319680 325310 37115 283115 241555 9877 265571 82377 252319 412622
283115,38965 37115 265571 241555 325310 250212 252319 82377 9877 412622
319680,38965 269085 265571 322341 37115 381941 44826 444948 412622 241555
388096,39242 180858 54973 429226 426678 180380 380738 319680 239006 283115
257070,62557 414460 34695 452661 316888 22257 397300 179906 236398 284405
321706,238448 453279 176166 92210 194356 111401 465444 247436 304038 231597
453279,302926 304038 404225 72916 92210 129343 157441 365146 379693 321706
118401,258794 36195 334232 225345 131364 46041 267060 99757 232725 247422
160984,74273 154817 210543 318851 329040 451777 17944 286508 244684 121640
224700,17370 190293 395091 12315 176794 454306 411611 97894 156272 408570
233200,258794 253298 356671 417860 170017 180463 148996 415599 87562 53727
295653,268689 137190 325045 160984 118401 233200 224700 252068 331168
52383,172117 359529 36210 201610 110768 218879 168656 96307 288300 353515
168656,80897 434571 73906 131042 197873 281079 233318 415735 35972 347461
353515,80897 176391 70044 374358 66509 73906 451866 203285 145920 227880
45410,59574 57171 397170
57171,284400 85503 366387 61406 302156 58481 346182 350262 445906 364327
59574,34565 339083 219897 48397 187362 6540 368130 279481 45410 318751
96883,212216 257575 189387 306363 347213 311333 255840 448274 367664 218894
257575,212216 243980 96883 257040 2836 140861 448274 255840 152997 434571
278966,101662 420028 345529 220003 380651 259610 380212 420056 171771 152100
420028,196779 323561 378740 71239 179312 58827 303142 392792 284884 112489
58827,420028
72435,315387 456710 170017 180463 344305 247339 415599 211377 383330 189051
277742,146125 59763 349818 276383 347283 34393 304277 304214 254731 72435
129302,26273 433513 173331 30790 349802 344280 185632 418862 100199 284624
347105,188619 131768 106055 331910 151525 218215 284624 454669 243910 363685
45520,223911 169956 45445 112650 126623 406672 34937 270638 365006 209420
169956,385735 346786 45520 464783 285400 312418 247329 92914 465455 136700
280039,330269 23719 231074 400946 132591 223944 94041 233299 270950 112430
291964,100532 8612 97488 151848 156665 186745 291920 432391 23912 31098
400946,86935 171195 254029 31249 91468 398778 93050 288901 18717 368360
186933,452955 93488 444742 23148 239735 422763 194550 130778 274949 386351
452955,186933 130778 93488 372620 165677 291869 14432 293860 77402 170857
123027,219189 269955 244405 75546 380896 126067 191218 275388 134620 41367
134620,434684 269955 196634 310876 442395 216804 246829 311774 362361 359097
50928,14046 373637 300906 284156 270142 251646 1895 253936 447710 21970
373637,422992 92361 122604 50928 130047 418277 270142 126305 160236 443776
191726,20811 350865 275959 371665 449877 341482 19574 357055 342423 96024
275959,191726
1152,233427 293420 336121 122604 71640 392715 449819 188171 144365 428000
248862,257245 111196 404367 44547 212589 275566 139744 287105 76410 35133
305656,384560 390093 441248 48722 52682 70379 121516 37093 47115 178029
390093,258306 37093 47115 178029 213642 437918 305656 36873 288249 158262
84310,441852 119736 254997 242905 361447 234255 441953 157492 144090 347295
312427,55028 311108 197068 28477 40385 2143 146131 385111 435400 59556
326449,341701 174558 11663 51360 171756 244294 179601 449912 376231 242905
10034,360380 248189 350629 372169 465522 464731 292240 27248 361255 378862
18519,403998 211417 432640 27248 302810 130776 106216 323030 200909 363106
27248,323030 302810 403998 145564 10034 456710 207911 363106 130776 234198
55710,137459 341702 374896 315901 107025 330533 83659 198348 260622 318011
254301,294103 172079 71488 358560 314715 78216 420957 434959 173736 234613
292240,10034 326151 464731 334395 378862 253720 6454 450237 71828 325908
302810,362418 245965 370562 27248 161767 234198 426483 6288 226738 234613
323030,418277 414241 152644 206930 366384 207911 403998 27248 145564 428135
363106,343288 106216 55710 295113 27248 37543 331878 302810 428135 239036
374400,342789 320027 295113 196465 222642 332703 228229 452742 172806 363106
378862,450237 292240 455449 10034 334395 190593 253720 436702 464731 385361
403998,207911 145564 323030 20565 27248 245752 406296 55049 226021 361255
412628,245965 370562 175100 6288 443568 61459 172806 368879 236751 113451
464731,7732 48803 192876 234177 464220 14644 409426 331514 9877 10034
228229,372169 388536 236751 18841 463254 234613 150641 301079 466603 188817
253720,145231 169890 346772 195337 247503 326151 54746 292240 184575 316465
62300,202268 218339 289502 420035 283579 130240 46394 308558 53729 356197
79918,98282 167126 356043 213038 326366 343685 103686 465522 365512 465231
107943,233634 43804 141163 99757 202268 280802 445257 253024 60649 46096
202268,62300 125400 230967 107943 360540 294024 431470 218339 67714 378760
465522,312670 345104 465231 139346 281667 10034 7438 175299 79918 282385
186095,355511 291285 98063 429571 10986 130221 394932 369919 464212 352826
429571,10986 296989 186095 291285 98063 184512 117429 417992 1605 35407
332907,456393 177581 108452 238710 47408 322957 58220 106615 246634 36864
456393,332907 177581 47408 108452 238710 364107 58220 322957 166519 466726
8140,332065 419690 347498 23040 98266 116223 11296 34456 202365 317219
11296,48390 51349 160256 58225 137179 406333 97181 215765 440212 8140
168697,336432 51987 402568 150785 395588 443407 338318 210841 18155 352082
336432,168697 210841 150785 395588 352082 388558 18155 64993 236794 338318
443407,168697 455121 73394 277189 336432 186848 369474 38044 208855 415822
234255,417239 450835 150376 377981 355994 118914 119736 191303 64951 214790
395845,128682 33487 62327 356457 392526 438756 234198 202920 362340 57788
4564,290742 339325 169213 182539 113563 231140 292995 112817 298804 427923
290742,4564 201763 46971 339325 433843 169213 113563 352017 194212 231140
161650,449865 452720 163134 260152 380592 94788 66258 397420 375681 454671
358513,122225 406031 465258 280460 392713 94788 230000 260152 393820 94470
449865,115049 161650 333723 397420 64346 106819 150103 14913 152675 230213
161949,459835
459835,161949 314074 32591 294773 295738 10732 431569 385401 394931 287524
39929,393322 244254 132449 458012 436400 377792 78538 400414 115007 281165
212515,8132 282143 256815 351118 460490 340315 442175 370466 301788 449033
340315,275066 333064 393322 173056 394284 136584 8193 422718 212515 231998
449033,228554 277552 212515 29500 150530 442175 135797 282315 68917 192746
91755,335975 370653 69414 84160 211873 350629 250497 308945 294520 418148
335975,370653 91755 84160 357446 233834 55292 188558 350629 355301 388872
405060,458028
458028,405060 215131 394830 273473 384130 370434
65273,378760 192223 108343 289096 299038 339703 446989 369975 128731 22436
311069,22261 277749 89197 130568 356920 139856 338776 47545 448677 77916
49257,397642 62275 134960 336131 167198 356289 242452 328685 464932 281332
429775,217286 123519 90823 420228 38232 135614 77673 191472 216647 104464
74877,244660 438011
244660,74877
149253,193908 105868 48291 144090 416219 57462 375327 368230 179351 253296
416219,149253 342848 105868 193908 304751 186360 179351 117189 231003 169233
209372,89729 332643 47019 257938 26515
257938,14632 191622 47019 5197 209372 463102
118551,254418 869 107184 330090 454422 303828 438322 185246 432992 159956
303828,174815 89044 303715 432478 58638 118551 125318 869 261979 454422
314073,438322 330090 109101 164605 257769 435453 869 276494 234808 8395
432478,58638 133647 303828 125318 432925 227993 180002 441169 276714 314073
432992,254418 266900 869 330090 36977 185246 331039 308438 118551 454422
454422,185246 36977 25680 25068 71241 302866 328205 89821 154722 130658
341578,29195 90687 31591 446102 195809 326609 288887 289096 277247 346623
399221,299856 285637 214468 9014 230091 26188 47232 245847 337006 455871
133814,323194 378637 460658 423148 265962 4644 281083 322086 377474 153226
174894,394746 293651 230841 307228 278351 18507 188463 249635 244453 135709
184990,399706 58790 125547 177608 251076 258262 389092 319503 437465 36093
214189,42634 447099 196863 63372 103520 401469 259076 278717 239147 152363
238447,396186 388356 438554 445394 307220 360769 365320 188792 119978 38849
280029,190070 343256 58225 137179 406333 42634 260415 417071 441894 62364
354233,158666 188792 464559 437804 209163 190070 341197 58225 137179 406333
140327,386470 91415 267625 150132 13717 832 455675 220452 368879 1949
386470,140327 150132 114335 832 191061 1949 188701 3593 317553 100962
310756,242093 45227 74173 190692 290651 294154 305820 92829 111334 306626
389566,310756 355026 363438 332372 308991
112445,408330 364046 77385 133168 235143 208932 225593
208932,4689 217417 106186 112962 138589 93229 323621 4305 390425 407370
4303,59211 335564 170243 274056 55543 271393
59211,4303 332654 335564 395017 253117 209420 37207 271393 259680 429354
271393,405267 235907 459618 7521 175433 195012 233328 274733 374805 282258
238822,407125 312130 264265 196513 87284 228017 269936 430522 227880 413613
407125,228017 167900 143775 377718 110653 446759 59402 87284 449364 238822
1543,433060 101034 372248 309434 239494 142497 14430 129271 159095 251868
42444,135138 140816 83791 14430 442706 184465 309803 372248 453552 309434
98547,257551 48134 299751 299164 135138 286343 370199 374375 324995 222362
143416,396491 270052 390036 239494 66302 135138 417230 277638 451346 1543
169260,273416 446565 247578 307559 287090 190916 431653 370622 460084 370462
170751,400998 114837 397013 75254 264183 300766 131874 247578 406529 366450
184465,365673 184903 190916 99373 240262 107523 412767 1312 140816 407287
216146,92353 372248 433060 451346 239494 107523 4382 1543 143416 395361
359368,317853 356421 314720 153335 219473 372248 293125 394411 446306 163474
365673,184903 184465 365692 190916 99373 432418 31091 431653 135138 366384
372248,114721 451703 216567 50226 216146 1543 395361 412190 48310 359368
395361,54244 130785 344010 222577 187672 372248 412190 447193 214481 235438
412190,372248 395361 447193 216146 219473 273743 1543 399254 90183 1931
433060,66302 327267 1543 396491 216146 107523 309803 372248 92353 313906
86324,141127 302224 12157 211334 28847 173991 78317 57833 150173 40413
376793,231819 189635 33645 228251 10648 348053 289844 367452 385769 462938
381636,21561 240018 205606 200659 344032 462938 283255 314686 148416 27894
199646,110856 164576 417666 281211 64658 262162 443542 373322 114553 449739
395497,67572 37356 465833 14869 401946 53452 125706 157770 275333 104461
417666,425758 14869 404 6108 170374 216058 225491 375243 384193 445643
159380,447661 46443 102306 17419 309402 79829 419037 251349 430048 198996
167127,276787 349919 161688 112054 364422 118932 71851 420546 278720 451347
198996,159380 190125 162406 46443 380169 202952 279815 269590 194913 309402
270291,329624 366959 135212 332955 159330 126845 241463 353517 267451 247587
329624,167240 270291 207857 226709 313835 373788 273216 130303 75475 263735
106801,28747 435401 105416 124035 308162 177682 184949 48291 182407 121131
216225,127762 435401 387869 61203 402403 73056 291249 64881 57301 196608
140269,158112 167337
158112,350177 145283 59752 80973 198504 153084 424630 239195 387252 65495
167337,55911 31454 194501 462341 54781 119675 20878 94610 420459 356455
320130,240160 312776 304839 447890 267196 456912 170390 263245 108486 389158
356455,271896 159162 416399 167337 33826 76902 189636 238613 214051 127537
304537,85614 283816 379796 161660 91873 58166 237494 453618 288278 275406
465276,232089 384657 271151 14200 244908 455984 267050 200723 49749 134919
117889,279624 287657 457671 358882 384439 435677 351798 60628 235012 404747
130121,102525 222592 274283 227688 415882 443795 235274 86191 117889 450404
146364,341534 389308 249186 379534 403548 151848 104830 287723 356820 362528
219718,35201 396445 377207 456 97594 22223 211247 18681 272969 347372
227688,241362 61046 187569 204433 439371 419250 2829 272251 135764 367188
246589,324508 348495 347530 129299 337170 245832 408043 277390 105338 86282
351798,397068 441267 278341 3903 154516 174537 335420 117889 63338 151282
450404,466210 4115 96075 291403 464884 230455 249980 409604 312083 245396
11140,98830 159071 380028
98830,11140 159071 380028
159071,11140 98830 380028
380028,11140 98830 159071
215051,452041 49907 396286 442228 232099 23634 404478 5729 15723 199533
241555,406296 412622 325310 9877 38965 265571 37115 283115 82377 252319
